{'iterations': '500000', 'pred_weight': 0.0, 'del_rate': 0.4, 'correlations': {'Model 1': 0.0025, 'Sanity 2': -0.273, 'Model 2': -0.1973}, 'id': '835263896', 'lr_mem': 2e-05, 'mom': 0.3}
{'iterations': '1050000', 'pred_weight': 0.25, 'del_rate': 0.45, 'correlations': {'Model 1': -0.2905, 'Sanity 2': -0.3427, 'Model 2': -0.2076}, 'id': '902119690', 'lr_mem': 2e-05, 'mom': 0.3}
{'iterations': '1050000', 'pred_weight': 0.5, 'del_rate': 0.55, 'correlations': {'Model 1': -0.0604, 'Sanity 2': -0.5664, 'Model 2': -0.2086}, 'id': '284962681', 'lr_mem': 2e-06, 'mom': 0.3}
{'iterations': '500000', 'pred_weight': 0.0, 'del_rate': 0.6, 'correlations': {'Model 1': 0.0462, 'Sanity 2': -0.5459, 'Model 2': -0.2088}, 'id': '331345132', 'lr_mem': 2e-06, 'mom': 0.5}
{'iterations': '500000', 'pred_weight': 1.0, 'del_rate': 0.6, 'correlations': {'Model 1': -0.4078, 'Sanity 2': -0.5766, 'Model 2': -0.2125}, 'id': '709741509', 'lr_mem': 5e-05, 'mom': 0.3}
{'iterations': '1000000', 'pred_weight': 0.5, 'del_rate': 0.45, 'correlations': {'Model 1': -0.2132, 'Sanity 2': -0.6432, 'Model 2': -0.2144}, 'id': '121094004', 'lr_mem': 2e-06, 'mom': 0.7}
{'iterations': '500000', 'pred_weight': 0.0, 'del_rate': 0.45, 'correlations': {'Model 1': -0.1373, 'Sanity 2': -0.2225, 'Model 2': -0.2173}, 'id': '674674099', 'lr_mem': 2e-05, 'mom': 0.9}
{'iterations': '900000', 'pred_weight': 0.5, 'del_rate': 0.5, 'correlations': {'Model 1': -0.3858, 'Sanity 2': -0.6376, 'Model 2': -0.2286}, 'id': '610256844', 'lr_mem': 1e-05, 'mom': 0.0}
{'iterations': '500000', 'pred_weight': 0.0, 'del_rate': 0.25, 'correlations': {'Model 1': -0.0437, 'Sanity 2': -0.3088, 'Model 2': -0.2301}, 'id': '633193614', 'lr_mem': 5e-05, 'mom': 0.0}
{'iterations': '350000', 'pred_weight': 0.5, 'del_rate': 0.45, 'correlations': {'Model 1': -0.0178, 'Sanity 2': -0.7328, 'Model 2': -0.2316}, 'id': '555930920', 'lr_mem': 2e-06, 'mom': 0.7}
{'iterations': '2900000', 'pred_weight': 0.75, 'del_rate': 0.5, 'correlations': {'Model 1': -0.1343, 'Sanity 2': -0.3409, 'Model 2': -0.2319}, 'id': '31640606', 'lr_mem': 1e-05, 'mom': 0.9}
{'iterations': '500000', 'pred_weight': 0.25, 'del_rate': 0.25, 'correlations': {'Model 1': -0.0101, 'Sanity 2': -0.4195, 'Model 2': -0.233}, 'id': '680346261', 'lr_mem': 2e-06, 'mom': 0.9}
{'iterations': '4800000', 'pred_weight': 0.75, 'del_rate': 0.45, 'correlations': {'Model 1': -0.0983, 'Sanity 2': -0.4731, 'Model 2': -0.2353}, 'id': '272077681', 'lr_mem': 2e-05, 'mom': 0.3}
{'iterations': '500000', 'pred_weight': 0.25, 'del_rate': 0.8, 'correlations': {'Model 1': 0.2377, 'Sanity 2': -0.6943, 'Model 2': -0.2367}, 'id': '678841591', 'lr_mem': 2e-06, 'mom': 0.3}
{'iterations': '500000', 'pred_weight': 0.5, 'del_rate': 0.45, 'correlations': {'Model 1': 0.0602, 'Sanity 2': -0.5577, 'Model 2': -0.2383}, 'id': '353934402', 'lr_mem': 2e-06, 'mom': 0.5}
{'iterations': '500000', 'pred_weight': 0.25, 'del_rate': 0.3, 'correlations': {'Model 1': -0.2386, 'Sanity 2': -0.476, 'Model 2': -0.2409}, 'id': '367751456', 'lr_mem': 2e-06, 'mom': 0.3}
{'iterations': '500000', 'pred_weight': 0.25, 'del_rate': 0.45, 'correlations': {'Model 1': -0.2707, 'Sanity 2': -0.5547, 'Model 2': -0.2413}, 'id': '647971961', 'lr_mem': 2e-06, 'mom': 0.3}
{'iterations': '150000', 'pred_weight': 0.25, 'del_rate': 0.25, 'correlations': {'Model 1': 0.0703, 'Sanity 2': -0.4365, 'Model 2': -0.242}, 'id': '848781785', 'lr_mem': 2e-05, 'mom': 0.3}
{'iterations': '1650000', 'pred_weight': 0.25, 'del_rate': 0.45, 'correlations': {'Model 1': -0.2399, 'Sanity 2': -0.3507, 'Model 2': -0.2444}, 'id': '141142052', 'lr_mem': 1e-05, 'mom': 0.5}
{'iterations': '500000', 'pred_weight': 0.75, 'del_rate': 0.3, 'correlations': {'Model 1': -0.0457, 'Sanity 2': -0.4804, 'Model 2': -0.2453}, 'id': '886108240', 'lr_mem': 5e-05, 'mom': 0.7}
{'iterations': '500000', 'pred_weight': 0.25, 'del_rate': 0.25, 'correlations': {'Model 1': -0.0616, 'Sanity 2': -0.377, 'Model 2': -0.2538}, 'id': '247037582', 'lr_mem': 5e-05, 'mom': 0.0}
{'iterations': '500000', 'pred_weight': 0.75, 'del_rate': 0.3, 'correlations': {'Model 1': -0.3399, 'Sanity 2': -0.4727, 'Model 2': -0.2551}, 'id': '425298240', 'lr_mem': 2e-06, 'mom': 0.7}
{'iterations': '500000', 'pred_weight': 0.0, 'del_rate': 0.35, 'correlations': {'Model 1': -0.1285, 'Sanity 2': -0.3506, 'Model 2': -0.258}, 'id': '447557512', 'lr_mem': 2e-05, 'mom': 0.3}
{'iterations': '2550000', 'pred_weight': 0.75, 'del_rate': 0.4, 'correlations': {'Model 1': -0.0599, 'Sanity 2': -0.2586, 'Model 2': -0.2603}, 'id': '111350798', 'lr_mem': 2e-06, 'mom': 0.9}
