deletion_rate	predictability_weight	reward	predictability	reconstructability	args	suffix	autoencoder
0.5	0.25	2.8511	4.451185666138947	0.42047703842682094	dual_learn_rate=0.3;learn_rate_autoencoder=0.1;learn_rate_memory=0.0001;mom=0.9	QC_3_W_GPT2M.py_340958261	524811876
0.35	1.0	8.7889	4.3944464193640975	1.000701366372664	dual_learn_rate=0.3;learn_rate_autoencoder=0.001;learn_rate_memory=0.0001;mom=0.9	QC_3_W_GPT2M.py_344850654	712478284
0.6	1.0	9.0038	4.493389976314199	1.9150166046226667	dual_learn_rate=0.01;learn_rate_autoencoder=0.001;learn_rate_memory=0.0001;mom=0.7	QC_3_W_GPT2M.py_347729242	516252642
0.45	0.25	2.7238	4.399755593418193	0.3432433502263824	dual_learn_rate=0.01;learn_rate_autoencoder=0.1;learn_rate_memory=0.0001;mom=0.5	QC_3_W_GPT2M.py_383767785	524811876
0.4	0.0	0.1723	5.0	0.17202604237945496	dual_learn_rate=0.02;learn_rate_autoencoder=0.1;learn_rate_memory=5e-05;mom=0.5	QC_3_W_GPT2M.py_406702640	524811876
0.45	0.5	4.7983	4.371541324625011	0.42014444069976015	dual_learn_rate=0.3;learn_rate_autoencoder=0.1;learn_rate_memory=5e-05;mom=0.7	QC_3_W_GPT2M.py_411811095	727001672
0.55	0.0	0.6596	5.0	0.6623160363648303	dual_learn_rate=0.05;learn_rate_autoencoder=0.1;learn_rate_memory=0.0001;mom=0.9	QC_3_W_GPT2M.py_412365938	712478284
0.35	0.25	2.2539	4.3159896111470015	0.06293188355511936	dual_learn_rate=0.01;learn_rate_autoencoder=0.1;learn_rate_memory=0.0001;mom=0.7	QC_3_W_GPT2M.py_424454569	709961927
0.6	1.0	8.8949	4.452021139264258	2.1185412805304003	dual_learn_rate=0.2;learn_rate_autoencoder=0.2;learn_rate_memory=5e-05;mom=0.7	QC_3_W_GPT2M.py_454692883	516252642
0.4	0.75	6.7744	4.339135152253056	0.5221668024074938	dual_learn_rate=0.1;learn_rate_autoencoder=0.1;learn_rate_memory=0.0001;mom=0.5	QC_3_W_GPT2M.py_480552188	647336050
0.35	1.0	8.697	4.348492596508387	0.9065516784047128	dual_learn_rate=0.1;learn_rate_autoencoder=0.1;learn_rate_memory=0.0001;mom=0.5	QC_3_W_GPT2M.py_480891215	709961927
0.4	0.75	6.7015	4.3293789638517834	0.41085519684334176	dual_learn_rate=0.1;learn_rate_autoencoder=0.1;learn_rate_memory=0.0001;mom=0.7	QC_3_W_GPT2M.py_532416489	647336050
0.6	0.75	7.4534	4.461890939791392	1.4480603356807935	dual_learn_rate=0.05;learn_rate_autoencoder=0.1;learn_rate_memory=0.0001;mom=0.7	_QC_3_W_GPT2M.py_54150321	647336050
0.5	0.5	5.0105	4.407063709258768	0.6153248513236863	dual_learn_rate=0.02;learn_rate_autoencoder=0.1;learn_rate_memory=0.0001;mom=0.7	_QC_3_W_GPT2M.py_54220181	712478284
0.55	0.25	3.3058	4.537141214909205	0.7173118226792055	dual_learn_rate=0.2;learn_rate_autoencoder=0.1;learn_rate_memory=0.0001;mom=0.7	QC_3_W_GPT2M.py_571568854	524811876
0.4	0.5	4.6241	4.327917889379562	0.2997962495644019	dual_learn_rate=0.05;learn_rate_autoencoder=0.2;learn_rate_memory=0.0001;mom=0.7	QC_3_W_GPT2M.py_582183514	727001672
0.35	0.75	6.736	4.340239936752812	0.42873378612041224	dual_learn_rate=0.02;learn_rate_autoencoder=0.1;learn_rate_memory=2e-05;mom=0.5	QC_3_W_GPT2M.py_606908692	647336050
0.4	0.5	4.5729	4.356494375069953	0.2208595056348459	dual_learn_rate=0.1;learn_rate_autoencoder=0.01;learn_rate_memory=2e-05;mom=0.7	QC_3_W_GPT2M.py_648585713	516252642
0.4	0.5	4.4958	4.337902530211439	0.15986466605682245	dual_learn_rate=0.1;learn_rate_autoencoder=0.2;learn_rate_memory=0.0001;mom=0.7	_QC_3_W_GPT2M.py_65144010	516252642
0.3	1.0	8.6676	4.335007990006134	0.6998054467129327	dual_learn_rate=0.2;learn_rate_autoencoder=0.1;learn_rate_memory=2e-05;mom=0.7	QC_3_W_GPT2M.py_663105362	647336050
0.6	0.5	5.6586	4.50901639825836	1.1322820182486792	dual_learn_rate=0.02;learn_rate_autoencoder=0.1;learn_rate_memory=0.0001;mom=0.9	QC_3_W_GPT2M.py_704258408	647336050
0.6	0.5	5.8089	4.490800674752333	1.3269637244649717	dual_learn_rate=0.01;learn_rate_autoencoder=0.1;learn_rate_memory=2e-05;mom=0.7	QC_3_W_GPT2M.py_704895371	712478284
0.4	0.5	4.6103	4.334211194678055	0.27424431724191006	dual_learn_rate=0.05;learn_rate_autoencoder=0.1;learn_rate_memory=0.0001;mom=0.5	QC_3_W_GPT2M.py_722754052	727001672
0.45	1.0	8.799	4.4000176948677705	1.6147486762065895	dual_learn_rate=0.05;learn_rate_autoencoder=0.2;learn_rate_memory=0.0001;mom=0.5	QC_3_W_GPT2M.py_726444270	727001672
0.45	0.0	0.2356	5.0	0.23369938797649467	dual_learn_rate=0.02;learn_rate_autoencoder=0.2;learn_rate_memory=5e-05;mom=0.7	QC_3_W_GPT2M.py_750651178	524811876
0.35	0.25	2.2783	4.326034305166364	0.07507460104162117	dual_learn_rate=0.02;learn_rate_autoencoder=0.2;learn_rate_memory=5e-05;mom=0.7	QC_3_W_GPT2M.py_763369683	712478284
0.5	1.0	8.7964	4.398214674553644	1.5923211516590607	dual_learn_rate=0.1;learn_rate_autoencoder=0.1;learn_rate_memory=2e-05;mom=0.7	QC_3_W_GPT2M.py_770002526	516252642
0.35	1.0	8.6931	4.346609914193523	0.8778946974473459	dual_learn_rate=0.2;learn_rate_autoencoder=0.1;learn_rate_memory=0.0001;mom=0.7	QC_3_W_GPT2M.py_776887521	727001672
